2021 2013-12-09 17:55:17 2013-12-09 18:00:27 +0000 0000049c 001 001f 0001 09 eCommunicationsObjMgr_ptg 64993 5716 1552 d:\sea752pd\siebsrvr\log\eCommunicationsObjMgr_ptg_64993.log 7.5.3.15 [16279] PTG
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Validate peer certificate                     : FALSE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Component Virtual IP Address                  : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Username BC Field                        : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Read Configuration From Server Component Parameters : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Configuration File                       : scomm.cfg
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Compressed File Download                      : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Data Source                              : ServerDataSrc
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Locale Code                                   : PTG
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Model Cache Maximum                      : 10
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Named Data Source name                   : ServerDataSrc,GatewayDataSrc,DataMart
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Preload SRF Data                         : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Proxy Employee                           : PROXYE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Resource Language Code                   : 
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		OM - Save Preferences                         : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Search - Definition Name                      : Call Center Definition
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Search - Engine Name                          : Fulcrum
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Search - Install Directory                    : d:\sea752pd\siebsrvr\search\fulcrum
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Search - Remote Server                        : TRUE
TaskConfig	TaskCfgParamInit	4	2013-12-09 17:55:17		Search - Remote Server Path                   : /tcp2048
